pid,host,file,read,2,toRGB,0,background,0,save background,2,RBC,0,save RBC,2,GrayNU,0,save GrayNU,2,NuMask,0,save NuMask,2,removeRBC,0,save removeRBC,2,separateNuclei,0,save separateNuclei,2,finalCleanup,0,save finalCleanup,2
0,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/oligoIII.1/oligoIII.1.ndpi-0000012288-0000028672.tif,1137,713462,713474,757366,757373,904052,904052,928358,928367,1480994,1480994,1502868,1502875,3548893,3548893,3574972,3574980,4929326,4929326,4950364,4950371,6205239,6205239,6228628,6228633,10949434,10949434,10971187,10971195,12657508,12657508,13077410
1,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif,12475575,13172900,13172905,13211217,13211226,13349748,13349748,13625778,13625785,14276827,14276827,14472704,14472711,16332513,16332513,16353095,16353100,17477830,17477830,17498566,17498573,18535989,18535989,18556593,18556599,22879080,22879080,22899650,22899655,24370150,24370150,24451712
1,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/gbm2.1/gbm2.1.ndpi-0000004096-0000004096.tif,2205,611208,611220,654879,654885,799829,799829,821538,821544,1364862,1364862,1386884,1386892,3170080,3170080,3192649,3192654,4525632,4525632,4547169,4547176,5792413,5792413,5814038,5814042,10471979,10471979,10494052,10494060,12193075,12193075,12386385
2,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192.tif,3297,870652,870665,915897,915905,1064383,1064383,1087883,1087891,1631654,1631654,1653081,1653089,3528346,3528346,3551928,3551933,5095396,5095396,5116294,5116301,6525294,6525294,6553521,6553527,11526219,11526219,11547105,11547113,13511701,13511701,14465369
3,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/normal.3/normal.3.ndpi-0000028672-0000012288.tif,4365,900294,900309,946600,946607,1097364,1097364,1121929,1121938,1682409,1682409,1704149,1704154,5483517,5483517,5505796,5505802,6865732,6865732,6890080,6890088,8061604,8061604,8084411,8084416,12672482,12672482,12703369,12703377,14591059,14591059,15153310
