pid,host,file,read,2,toRGB,0,background,0,save background,2,RBC,0,save RBC,2,GrayNU,0,save GrayNU,2,NuMask,0,save NuMask,2,removeRBC,0,save removeRBC,2,separateNuclei,0,save separateNuclei,2,finalCleanup,0,save finalCleanup,2
0,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/normal.3/normal.3.ndpi-0000028672-0000012288.tif,35197229,35963552,35963557,36005076,36005081,36138030,36138030,36162420,36162427,36647867,36647867,36666389,36666396,40081983,40081983,40100411,40100416,41122004,41122004,41140639,41140646,42130872,42130872,42150285,42150290,46273768,46273768,46292856,46292864,47650583,47650583,47730035
0,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/oligoIII.1/oligoIII.1.ndpi-0000012288-0000028672.tif,1142,692892,692904,734760,734767,873267,873267,894603,894609,1391448,1391448,1410770,1410776,3252006,3252006,3272017,3272022,4485360,4485360,4503980,4503987,5608190,5608190,5628103,5628107,9939446,9939446,9960176,9960184,11597121,11597121,11671455
0,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192.tif,23079529,23819119,23819123,23854795,23854802,23988129,23988129,24012660,24012668,24494756,24494756,24513903,24513910,26198201,26198201,26217296,26217302,27581331,27581331,27600225,27600233,28817293,28817293,28837749,28837754,33249158,33249158,33267718,33267724,35061649,35061649,35139777
0,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif,47779517,48285150,48285155,48320899,48320906,48453669,48453669,48478737,48478744,48957150,48957150,48976286,48976293,50763030,50763030,50781839,50781844,51759262,51759262,51777899,51777907,52722069,52722069,52741771,52741776,56815176,56815176,56834439,56834444,58178144,58178144,58254574
0,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/gbm2.1/gbm2.1.ndpi-0000004096-0000004096.tif,11724867,12312687,12312692,12348214,12348219,12481897,12481897,12506822,12506830,12994511,12994511,13013633,13013638,14623693,14623693,14642758,14642762,15782283,15782283,15802366,15802373,16862442,16862442,16882131,16882136,21225832,21225832,21250291,21250296,22954772,22954772,23032083
