pid,host,file,read,2,toRGB,0,background,0,save background,2,RBC,0,save RBC,2,GrayNU,0,save GrayNU,2,NuMask,0,save NuMask,2,removeRBC,0,save removeRBC,2,separateNuclei,0,save separateNuclei,2,finalCleanup,0,save finalCleanup,2
0,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/normal.3/normal.3.ndpi-0000028672-0000012288.tif,4298,808020,808032,851861,851867,999298,999298,1021211,1021217,1567437,1567437,1589127,1589132,6610166,6610166,6639860,6639866,8614942,8614942,8644375,8644382,10553709,10553709,10587985,10587990,17068318,17068318,17100873,17100884,19623227,19623227,19734622
1,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif,7731,905848,905862,977932,977941,1208889,1208889,1240089,1240097,2071031,2071031,2102893,2102900,5136673,5136673,5167508,5167513,7072890,7072890,7100875,7100883,8855573,8855573,8887220,8887224,15272728,15272728,15302928,15302939,17683563,17683563,17805449
5,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/oligoIII.1/oligoIII.1.ndpi-0000012288-0000028672.tif,1126,2002458,2002474,2075382,2075391,2307517,2307517,2337728,2337737,3162423,3162423,3191183,3191191,6147624,6147624,6177317,6177323,8353997,8353997,8385206,8385215,10418632,10418632,10452271,10452276,17305997,17305997,17337008,17337016,20117368,20117368,20386430
6,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/gbm2.1/gbm2.1.ndpi-0000004096-0000004096.tif,2201,1033825,1033841,1108757,1108764,1353792,1353792,1386997,1387005,2233606,2233606,2261710,2261717,5045605,5045605,5076639,5076644,7200789,7200789,7231394,7231401,9147075,9147075,9181570,9181575,15704157,15704157,15736038,15736047,18793608,18793608,18908117
7,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192.tif,8624,1514727,1514743,1588339,1588347,1850247,1850247,1880497,1880504,2714414,2714414,2743280,2743288,5795048,5795048,5825370,5825374,8319023,8319023,8349836,8349844,10660427,10660427,10696430,10696436,17427428,17427428,17458581,17458590,20757803,20757803,21177829
