pid,host,file,toRGB,0,background,0,save background,2,RBC,0,save RBC,2,GrayNU,0,save GrayNU,2,NuMask,0,save NuMask,2,removeRBC,0,save removeRBC,2,separateNuclei,0,save separateNuclei,2,finalCleanup,0,save finalCleanup,2,
0,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/oligoIII.1/oligoIII.1.ndpi-0000012288-0000028672.tif,12641488,12678378,12678384,12817046,12817046,13479227,13479235,13992235,13992235,14295964,14295970,16268624,16268624,16287874,16287879,17500377,17500377,17519632,17519639,18621122,18621122,18640508,18640514,23004784,23004784,23024228,23024234,24617111,24617111,24694748,
0,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif,528070,569917,569931,711131,711131,732008,732014,1268960,1268960,1290149,1290156,3311627,3311627,3457047,3457053,4603461,4603461,4625552,4625558,5719446,5719446,5741514,5741518,10240787,10240787,10263132,10263140,11795808,11795808,11882735,
1,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192.tif,780594,826897,826911,977807,977807,1000980,1000990,1552648,1552648,1573628,1573634,3503183,3503183,3524986,3524992,5075261,5075261,5097340,5097346,6555819,6555819,6580208,6580213,11467873,11467873,11488659,11488666,13608823,13608823,13895599,
2,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/normal.3/normal.3.ndpi-0000028672-0000012288.tif,797129,843688,843703,990415,990415,1014103,1014112,1558544,1558544,1578642,1578648,5282630,5282630,5331485,5331490,6669150,6669150,6690470,6690478,7853014,7853014,7877823,7877828,12241564,12241564,12731430,12731440,14328251,14328251,15351271,
3,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/gbm2.1/gbm2.1.ndpi-0000004096-0000004096.tif,616433,659428,659443,802400,802400,826242,826249,1381754,1381754,1402396,1402403,3191079,3191079,3211675,3211679,4492927,4492927,4513944,4513950,5706284,5706284,5728211,5728215,10411445,10411445,10433346,10433355,12132787,12132787,13456241,
