pid,host,file,toRGB,0,background,0,save background,2,RBC,0,save RBC,2,GrayNU,0,save GrayNU,2,NuMask,0,save NuMask,2,removeRBC,0,save removeRBC,2,separateNuclei,0,save separateNuclei,2,finalCleanup,0,save finalCleanup,2,
0,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif,920332,990949,990966,1221140,1221140,1255107,1255116,2107843,2107843,2167856,2167863,5247878,5247878,5276881,5276886,7144333,7144333,7170570,7170576,8930599,8930599,8964189,8964193,15321967,15321967,15351526,15351532,17740881,17740881,17854201,
1,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192.tif,2052249,2120591,2120611,2368097,2368097,2398008,2398014,3195207,3195207,3222824,3222830,6120635,6120635,6148846,6148850,8543677,8543677,8573801,8573808,10793771,10793771,10825485,10825491,17251633,17251633,17280977,17280986,20436302,20436302,21127125,
2,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/normal.3/normal.3.ndpi-0000028672-0000012288.tif,802044,844487,844502,987407,987407,1012995,1013001,1547195,1547195,1612063,1612070,7234084,7234084,7330460,7330466,9429436,9429436,9461325,9461333,11428437,11428437,11460088,11460096,17740145,17740145,17771383,17771391,20414405,20414405,21093420,
3,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/gbm2.1/gbm2.1.ndpi-0000004096-0000004096.tif,995654,1065710,1065730,1305318,1305318,1337876,1337884,2159996,2159996,2186200,2186206,4910440,4910440,4938748,4938755,6925587,6925587,6954897,6954904,8801757,8801757,8837505,8837509,15351499,15351499,15545289,15545298,18264362,18264362,18835400,
4,yellowstone,/home/tcpan/PhD/path/Data/segmentation-tests/oligoIII.1/oligoIII.1.ndpi-0000012288-0000028672.tif,1181539,1250801,1250822,1507610,1507610,1609939,1609947,2436843,2436843,2465780,2465788,5681027,5681027,5709544,5709550,7881192,7881192,7909568,7909576,9973879,9973879,10004444,10004448,16307338,16307338,16336007,16336016,19236744,19236744,19504660,
