MPIIprobe,blocking,bufferSize,compression,dataSize,fileCount,filename,ioGroupSize,layout,nCompute,nMaster,nProcs,nRead,nWrite,ost,sys,transport,type
1,1,1,0,MPI_AMR,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.MPI_AMR.256,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,MPI_AMR,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.MPI_AMR.4096,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,MPI_AMR,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.MPI_AMR.512,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,MPI_AMR,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.MPI_AMR.8192,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-NULL.1024,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-NULL.128,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-NULL.2048,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-NULL.256,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-NULL.4096,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-NULL.512,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-NULL.8192,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-POSIX.1024,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-POSIX.128,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-POSIX.2048,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-POSIX.256,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-POSIX.4096,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-POSIX.512,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,na-POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.na-POSIX.8192,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.NULL.1024,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.NULL.128,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.NULL.2048,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.NULL.256,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.NULL.4096,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.NULL.512,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,NULL,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.NULL.8192,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.POSIX.1024,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.POSIX.128,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.POSIX.2048,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.POSIX.256,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.POSIX.4096,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.POSIX.512,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,POSIX,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.POSIX.8192,719,sep-W,0,1,720,0,719,0,kids,,synth
1,1,1,0,MPI_AMR,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.push.MPI_AMR.1024,720,sep-W,0,0,720,0,720,0,kids,push.,synth
1,1,1,0,MPI_AMR,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.push.MPI_AMR.128,720,sep-W,0,0,720,0,720,0,kids,push.,synth
1,1,1,0,MPI_AMR,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.push.MPI_AMR.2048,720,sep-W,0,0,720,0,720,0,kids,push.,synth
1,1,1,0,MPI_AMR,,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-syntest.run2/synthetic.datasizes.p720.push.MPI_AMR.256,720,sep-W,0,0,720,0,720,0,kids,push.,synth
