MPIIprobe,blocking,bufferSize,compression,dataSize,fileCount,filename,ioGroupSize,layout,nCompute,nMaster,nProcs,nRead,nWrite,ost,sys,transport,type
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n32.f9600.MPI_AMR.b4.is-1-MPI_AMR,383,coloc,383,1,384,383,383,0,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n32.f9600.MPI_AMR.b4.is-1.ost-MPI_AMR,383,coloc,383,1,384,383,383,1,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n32.f9600.MPI_LUSTRE.b4.is-1-MPI_LUSTRE,383,coloc,383,1,384,383,383,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n32.f9600.MPI_LUSTRE.b4.is-1.ost-MPI_LUSTRE,383,coloc,383,1,384,383,383,1,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n32.f9600.MPI_LUSTRE.b4.is15-MPI_LUSTRE,15,coloc,383,1,384,383,383,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n32.f9600.MPI_LUSTRE.b4.is15.ost-MPI_LUSTRE,15,coloc,383,1,384,383,383,1,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n32.f9600.POSIX.b4.is-1-POSIX,383,coloc,383,1,384,383,383,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n32.f9600.POSIX.b4.is-1.ost-POSIX,383,coloc,383,1,384,383,383,1,kids,POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n32.f9600.POSIX.b4.is1-POSIX,1,coloc,383,1,384,383,383,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n32.f9600.POSIX.b4.is1.ost-POSIX,1,coloc,383,1,384,383,383,1,kids,POSIX,TCGA-GBM
