aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550117146319, gpu, 1664, 0, 0, 364, 652, 0, 4252, 11827, 0, 1394, 636, 7580, 10950, 3, 11873, 1452, 634, 14316, 133, 301, 165, 189, 502, 47, 133, 22, 410, 25, 1215, 177, 814, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550117204572, gpu, 1792, 0, 0, 260, 622, 0, 4222, 6709, 0, 1497, 636, 7532, 20575, 6, 11879, 1427, 589, 10945, 137, 309, 164, 187, 509, 49, 130, 23, 403, 26, 1371, 168, 884, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550117264010, gpu, 1920, 0, 0, 263, 641, 0, 4253, 15467, 0, 1522, 763, 7672, 40239, 12, 11876, 1460, 665, 10829, 133, 302, 144, 162, 500, 49, 99, 22, 370, 24, 1176, 125, 975, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550117351924, gpu, 2048, 0, 0, 320, 704, 0, 4335, 15500, 0, 1413, 741, 7575, 30216, 9, 11876, 1471, 590, 14227, 133, 301, 169, 186, 502, 48, 138, 23, 382, 25, 1244, 221, 805, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550117433259, gpu, 2176, 0, 0, 260, 623, 0, 4313, 11616, 0, 1416, 652, 7634, 40448, 12, 11875, 1465, 591, 10918, 134, 301, 128, 157, 510, 48, 91, 23, 366, 24, 1279, 141, 979, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550117517439, gpu, 2304, 0, 0, 284, 627, 0, 4101, 15091, 0, 1391, 635, 7583, 78991, 24, 11881, 1531, 589, 14176, 138, 309, 174, 192, 547, 49, 129, 24, 400, 27, 1290, 152, 930, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550117646858, gpu, 2432, 0, 0, 264, 640, 6.10352e-05, 4243, 6879, 0, 1400, 652, 7677, 14256, 4, 11877, 1430, 589, 14472, 133, 301, 145, 167, 512, 47, 134, 24, 374, 24, 1222, 138, 883, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550117703526, gpu, 2560, 0, 0, 260, 624, 0.00012207, 4266, 6695, 0, 1571, 636, 7665, 40087, 12, 11877, 1540, 604, 14214, 134, 339, 173, 183, 518, 48, 127, 22, 379, 25, 1347, 174, 814, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550117786040, gpu, 2688, 0, 0, 263, 724, 0.000183105, 4288, 6842, 0, 1361, 635, 7608, 40223, 12, 11878, 1465, 604, 14534, 139, 309, 198, 219, 503, 52, 157, 24, 464, 32, 1318, 210, 828, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550117869106, gpu, 2816, 0, 0, 266, 641, 0.000793457, 4181, 7481, 0, 1425, 654, 7746, 56316, 17, 11817, 1481, 590, 15349, 138, 313, 170, 191, 599, 52, 125, 23, 396, 26, 1322, 149, 847, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550117969651, gpu, 2944, 0, 0, 263, 640, 0.000488281, 5728, 6789, 0, 1360, 636, 7725, 14395, 4, 11881, 1502, 604, 14984, 175, 314, 186, 240, 537, 49, 150, 23, 445, 77, 1330, 173, 890, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550118028925, gpu, 3072, 0, 0, 305, 639, 0.000732422, 4353, 6914, 0, 1386, 665, 7812, 14750, 4, 11856, 1473, 663, 11007, 134, 327, 163, 184, 580, 47, 122, 22, 378, 24, 1242, 176, 838, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550118083189, gpu, 3200, 0, 0, 256, 622, 0.00012207, 4384, 6892, 0, 1484, 688, 7636, 33660, 10, 11880, 1432, 589, 14082, 134, 301, 192, 217, 472, 44, 252, 25, 395, 24, 1368, 224, 886, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550118159508, gpu, 3328, 0, 0, 259, 638, 0.00177002, 4269, 6833, 0, 1395, 640, 7585, 47424, 14, 11879, 1459, 631, 14114, 133, 302, 184, 195, 484, 47, 141, 23, 494, 28, 1253, 184, 800, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550118249087, gpu, 3456, 0, 0, 261, 622, 0.000305176, 4185, 6941, 0, 1397, 694, 7566, 30754, 9, 11881, 1471, 590, 14468, 134, 301, 173, 179, 493, 48, 123, 23, 383, 26, 1337, 168, 825, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550118322311, gpu, 3584, 0, 0, 262, 624, 0, 4310, 6728, 0, 1360, 678, 7691, 14331, 4, 11876, 1509, 605, 10954, 138, 309, 127, 159, 525, 51, 81, 24, 379, 27, 1231, 144, 894, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550118375516, gpu, 3712, 0, 0, 263, 749, 0, 4182, 15300, 0, 1514, 651, 7506, 27382, 8, 11881, 1472, 601, 10861, 134, 370, 170, 177, 506, 46, 136, 22, 380, 25, 1232, 166, 819, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550118450244, gpu, 3840, 0, 0, 260, 623, 0, 4118, 6918, 0, 1444, 652, 7594, 27093, 8, 11881, 1428, 590, 10811, 133, 301, 118, 147, 497, 46, 85, 23, 362, 21, 1173, 109, 852, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550118515704, gpu, 3968, 0, 0, 262, 719, 0.00012207, 4159, 6726, 0, 1361, 635, 7548, 10948, 3, 11881, 1464, 608, 14430, 137, 309, 145, 179, 528, 49, 113, 23, 501, 25, 1283, 141, 864, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550118568920, gpu, 0, 128, 0, 263, 641, 0.000671387, 4246, 6874, 0, 1395, 652, 7618, 17686, 5, 11881, 1429, 589, 14100, 172, 303, 193, 205, 531, 47, 159, 22, 498, 27, 1237, 219, 810, 

aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550118628903, gpu, 128, 128, 0, 260, 621, 0.00274658, 4105, 11689, 0, 1459, 635, 7538, 14447, 4, 11879, 1463, 603, 14199, 133, 300, 254, 221, 493, 45, 136, 22, 381, 23, 1281, 220, 811, 

