aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132089591, cpu, 1920, 0, 0, 43, 0, 126, 348, 0, 68, 746, 379, 16379, 46, 520, 135, 175, 517, 45, 112, 24, 386, 23, 1252, 136, 868, 
aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132096015, cpu, 2048, 0, 0, 47, 0, 125, 422, 0, 68, 745, 1585, 16379, 48, 537, 165, 189, 522, 45, 145, 23, 397, 24, 1280, 232, 847, 
aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132103566, cpu, 2176, 0, 0, 47, 0, 126, 347, 0, 68, 746, 508, 16383, 46, 531, 123, 162, 613, 49, 99, 24, 383, 21, 1275, 125, 879, 
aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132109841, cpu, 2304, 0, 0, 44, 0, 125, 272, 0, 68, 746, 2632, 16384, 47, 552, 154, 187, 546, 47, 127, 24, 397, 23, 1357, 154, 881, 
aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132118329, cpu, 2432, 0, 0, 46, 6.10352e-05, 126, 273, 0, 68, 747, 333, 16380, 47, 536, 145, 179, 528, 45, 118, 23, 389, 22, 1226, 154, 872, 
aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132124691, cpu, 2560, 0, 0, 46, 0.00012207, 126, 272, 0, 67, 747, 1364, 16380, 48, 544, 188, 185, 540, 47, 134, 24, 390, 23, 1276, 182, 865, 
aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132131863, cpu, 2688, 0, 0, 53, 0.000183105, 126, 272, 0, 67, 759, 2193, 16376, 47, 519, 181, 216, 573, 49, 161, 24, 409, 25, 1322, 214, 824, 
aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132140005, cpu, 2816, 0, 0, 46, 0.000793457, 125, 273, 0, 67, 746, 2697, 16355, 46, 530, 146, 180, 525, 46, 121, 24, 391, 23, 1340, 147, 880, 
aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132148471, cpu, 2944, 0, 0, 44, 0.000488281, 126, 273, 0, 68, 747, 1916, 16382, 46, 534, 157, 179, 533, 46, 127, 24, 391, 22, 1254, 155, 864, 
aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132156521, cpu, 3072, 0, 0, 46, 0.000732422, 126, 272, 0, 68, 747, 392, 16358, 46, 554, 158, 189, 500, 47, 127, 23, 394, 24, 1262, 155, 854, 
aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132163005, cpu, 3200, 0, 0, 45, 0.00012207, 126, 273, 0, 67, 747, 1074, 16383, 46, 518, 195, 225, 569, 48, 156, 24, 410, 25, 1332, 225, 827, 
aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132170043, cpu, 3328, 0, 0, 43, 0.00177002, 126, 272, 0, 68, 746, 3159, 16382, 46, 517, 175, 197, 500, 46, 148, 23, 479, 25, 1295, 191, 868, 
aII.1.08.08, /home/tcpan/PhD/path/Data/ValidationSet/20X_4096x4096_tiles/astroII.1/astroII.1.ndpi-0000008192-0000008192.tif, 128, 0, 1316550132179077, cpu, 3456, 0, 0, 44, 0.000305176, 125, 273, 0, 67, 747, 391, 16384, 47, 519, 201, 205, 503, 46, 142, 24, 401, 24, 1303, 169, 829, 
