oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, open19, 4.783874e+00
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, reconToNuclei, 1.170137e+00
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, threshold1, 8.001000e-03
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, fillHols1, 3.645650e-01
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, areaThreshold1, 2.187966e+00
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, blobsGt45, 6.643150e-01
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, fillHoles2, 3.669780e-01
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, openBlobs, 5.803400e-02
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, 30To1000 , 1.974840e-01
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, dilate, 3.011500e-02
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, distTransform, 1.256239e+00
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, imhmin, 4.018440e-01
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, watershed, 8.212142e+00
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, water to mask, 6.852700e-02
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, 20To1000, 6.393004e+00
oligoastroIII.1/oligoastroIII.1.ndpi-0000053248-0000008192, fillHolesLast, 3.635320e-01
normal.3/normal.3.ndpi-0000028672-0000012288, background, 2.772060e-01
normal.3/normal.3.ndpi-0000028672-0000012288, toRGB, 4.071100e-02
normal.3/normal.3.ndpi-0000028672-0000012288, RBC, 6.080000e-01
normal.3/normal.3.ndpi-0000028672-0000012288, invert, 8.272000e-03
normal.3/normal.3.ndpi-0000028672-0000012288, open19, 4.724513e+00
normal.3/normal.3.ndpi-0000028672-0000012288, reconToNuclei, 3.024645e+00
normal.3/normal.3.ndpi-0000028672-0000012288, threshold1, 7.909000e-03
normal.3/normal.3.ndpi-0000028672-0000012288, fillHols1, 3.319040e-01
normal.3/normal.3.ndpi-0000028672-0000012288, areaThreshold1, 5.165140e-01
normal.3/normal.3.ndpi-0000028672-0000012288, blobsGt45, 3.599480e-01
normal.3/normal.3.ndpi-0000028672-0000012288, fillHoles2, 3.578090e-01
normal.3/normal.3.ndpi-0000028672-0000012288, openBlobs, 4.300800e-02
normal.3/normal.3.ndpi-0000028672-0000012288, 30To1000 , 5.640800e-02
normal.3/normal.3.ndpi-0000028672-0000012288, dilate, 1.956800e-02
normal.3/normal.3.ndpi-0000028672-0000012288, distTransform, 1.244230e+00
normal.3/normal.3.ndpi-0000028672-0000012288, imhmin, 3.924430e-01
normal.3/normal.3.ndpi-0000028672-0000012288, watershed, 5.553179e+00
normal.3/normal.3.ndpi-0000028672-0000012288, water to mask, 6.393800e-02
normal.3/normal.3.ndpi-0000028672-0000012288, 20To1000, 4.803290e-01
normal.3/normal.3.ndpi-0000028672-0000012288, fillHolesLast, 3.513780e-01
